# select substr(TS_DAY,1,4) || '-' || substr(TS_DAY,5,2) || '-' || substr(TS_DAY,7,2) as T, 
# UPASS_2010, UPASS_2011, UPASS_2012, UPASS_2013,
# MONTHLYPASS_2010, MONTHLYPASS_2011, MONTHLYPASS_2012, MONTHLYPASS_2013,
# DISCOUNTPASS_2010, DISCOUNTPASS_2011, DISCOUNTPASS_2012, DISCOUNTPASS_2013
# from V_YEARSPREAD

########################################################################################
2013-04-24,8352,2881,9675,,8216,5339,13155,,4488,3004,7294,
2013-04-25,5317,3967,10506,,6750,7422,13171,,3333,4013,7557,
2013-04-26,9861,7541,8395,,13636,13801,12979,,6931,8062,7688,
2013-04-27,9608,7058,8002,,14444,13674,12807,,7284,7835,8132,
2013-04-28,9485,7157,5127,,14604,13763,7327,,7519,8015,4780,
2013-04-29,7917,7674,3911,,14422,14204,5669,,7398,8666,3530,
2013-04-30,7190,5062,6814,,14519,8462,12499,,7681,5429,6850,
2013-05-01,1083,986,1948,,7266,5284,12288,,3414,2864,6250,
2013-05-02,866,3441,2785,,5827,12592,13918,,2809,6143,7345,
2013-05-03,3240,4129,3176,,13375,14004,13978,,5974,7595,7543,
2013-05-04,4012,4620,3557,,14980,14601,14651,,6846,8158,9025,
2013-05-05,4273,4889,2233,,15830,15027,8565,,7474,8276,5608,
2013-05-06,4410,4891,1789,,15975,15094,6903,,7631,8832,4337,
2013-05-07,4432,2719,4246,,15996,8726,14494,,8192,5422,7926,
2013-05-08,2532,1944,4646,,9529,6743,15112,,5164,3690,8188,
2013-05-09,1963,5708,4991,,7167,15034,15235,,3353,7938,8375,
2013-05-10,5574,6171,5166,,15252,15723,15365,,7190,8609,8395,
2013-05-11,5900,6465,5469,,16268,15256,15434,,7833,8179,9191,
2013-05-12,6066,6321,3254,,16101,15630,9152,,7921,8698,5771,
2013-05-13,6121,6417,2271,,16207,15824,7083,,8113,9458,4121,
2013-05-14,5639,3170,6390,,16315,9118,14537,,8563,5544,7997,
2013-05-15,2834,2313,6696,,9772,6491,15283,,5209,3765,8092,
2013-05-16,2177,5987,6692,,7321,14889,14873,,3710,8113,8027,
2013-05-17,5663,6143,6545,,15262,15578,14828,,7285,8641,8376,
2013-05-18,6072,6223,6578,,16077,15511,13990,,7716,8480,7321,
